Bladdernose Harbour Weddell
56.19	49.69	55.41
48.36	51.02	40.08
37.77	41.57	46.29
42.75	45.57	29.83
27.01	39.38	52.5
43.1	43.06	37.37
42.38	55.68	42.81
29.86	66.08	51.35
42.26	56.01	48.51
58.14	47.04	44.02
32.23	51.48	58
38.39	50.88	45.42
52.57	53.37	37.11
53.92	35.27	39.27
42.3	45.25	45.15
46.41	38.35	51.14
44.57	50.47	38.13
48.97	49.38	36.48
40.17	41.64	49.42
41.37	41.48	61.95
38.65	45.79	45.74
35.1	48.08	56.97
48.23	57.29	42.65
33.17	61.16	40.03
38.42	48.84	31.92
26.01	62.21	42.74
50.01	37.99	46.02
42.63	40.57	39.02
46.97	67.26	50.06
41.57	48.45	34.42
